x,Curve3
0.02991,88.5607
0.07626,89.1056
0.13257,89.265
0.17241,89.8232
0.22786,89.8496
0.2683,90.4097
0.32178,90.845
0.37527,91.0794
0.43203,91.2885
0.48005,91.5815
0.5248,92.0336
0.58047,92.1758
0.63505,92.385
0.67761,92.678
0.72891,93.1133
0.77475,93.6157
0.83151,93.7243
0.88063,93.967
0.92865,94.3438
0.97559,94.6702
1.02907,94.7454
1.07928,94.9546
1.1273,95.5156
1.17751,96.2189
1.23427,96.135
1.2812,96.4866
1.32268,96.9806
1.36743,97.2903
1.42528,97.3152
1.47767,97.5914
1.52133,98.0352
1.57918,98.0266
1.62721,98.2358
1.67523,98.9894
1.74835,99.5922
1.82585,100.019
1.88588,100.3957
1.95246,100.8226
1.99503,101.1407
2.02777,101.3751
2.0365,101.9278
2.07142,102.5642
2.12491,102.3882
2.17621,102.3629
2.2286,102.8987
2.27008,102.9488
2.32139,103.0156
2.37487,103.4007
2.436,103.3837
2.4731,103.8191
2.5375,104.0282
2.57789,104.4301
2.62919,104.3043
2.68377,104.346
2.7187,104.7479
2.77109,104.7393
2.81585,104.5968
2.87479,104.6468
2.93374,104.722
2.98503,105.2997
3.0276,105.5508
3.08108,105.961
3.12037,106.5974
3.17168,106.48
3.22952,107.0325
3.27318,107.3506
3.31903,106.9317
3.37689,106.8226
3.41945,107.2664
3.47512,107.7687
3.52532,108.1789
3.58427,108.0112
3.62574,108.7648
3.6694,108.8903
3.71197,108.9739
3.76655,109.4846
3.82658,109.4425
3.88225,109.7019
3.92263,109.9447
3.97394,110.1371
4.03616,110.1704
4.07436,110.3545
4.11583,110.8485
4.17149,111.3425
4.21844,111.0827
4.27302,111.0908
4.31776,111.6602
4.38434,112.598
4.42362,113.5024
4.47601,114.1387
4.53276,114.7248
4.58952,114.5571
4.64192,114.3726
4.68886,114.6405
4.78055,114.883
4.83621,115.5194
4.88314,115.7621
4.93445,115.7116
4.98138,116.1302
