x,Curve2,Curve3
0.03722,92.599,
0.10912,92.8979,
0.16977,92.8678,
0.19099,93.2832,
0.2447,93.5721,
0.31054,93.9973,
0.33696,94.2033,
0.36988,94.3694,
0.40887,94.4291,
0.45133,94.3492,
0.45392,94.7746,
0.48164,94.7546,
0.51543,94.8342,
0.54142,94.9405,
0.57261,95.1863,
0.59946,95.4588,
0.63238,95.5517,
0.66357,95.6846,
0.70168,95.8972,
0.70169,95.8971,
0.73807,96.2759,
0.7554,96.4553,
0.79612,96.4485,
0.83944,96.4417,
0.86543,96.5347,
0.91048,96.6808,
0.97025,96.9398,
1.01964,97.0859,
1.05602,97.2054,
1.07162,97.3516,
1.08548,97.5377,
1.12793,97.3381,
1.15392,97.2516,
1.16172,97.677,
1.2215,97.5904,
1.25008,97.8828,
1.2856,98.0355,
1.32806,98.1418,
1.3783,98.454,
1.42248,98.6533,
1.47013,98.8126,
1.52212,98.8523,
1.54724,99.1182,
1.58622,99.4105,
1.62781,99.417,
1.6382,99.6457,
1.63993,99.6363,
1.68238,99.9021,
1.70578,99.8887,
1.73264,99.7822,
1.78028,100.0945,
1.80194,100.4933,
1.84092,100.5197,
1.88771,100.6525,
1.90243,100.9317,
1.95788,100.9913,
2.02719,101.0243,
2.08784,101.1437,
2.14675,101.3828,
2.22819,101.4889,
2.25504,101.7215,
2.28883,101.8476,
2.34601,102.0867,
2.40751,102.3724,
2.47422,102.8507,
2.5262,102.9902,
2.55999,103.349,
2.62843,103.6412,
2.7116,103.5545,
2.74972,103.807,
2.7965,104.1126,
2.82249,104.0461,
2.86494,104.0725,
2.88487,104.212,
2.94811,104.3049,
3.00096,104.4642,
3.05121,104.597,
3.09193,104.763,
3.14131,104.8493,
3.19243,104.9754,
3.22968,105.0949,
3.27126,105.2809,
3.34144,105.5465,
3.39601,105.8056,
3.4298,105.9517,
3.46359,106.1444,
3.48611,106.2174,
3.50604,106.5564,
3.56062,106.5362,
3.62906,106.6025,
3.68364,106.7751,
3.70876,107.0276,
3.75208,107.0142,
3.76767,107.3864,
3.81706,107.4327,
3.86904,107.6719,
3.89069,107.818,
3.92535,107.9309,
3.9444,108.2765,
3.96173,108.5889,
3.99379,108.17,
4.03104,108.3427,
4.03277,108.6418,
4.07956,108.5353,
4.11074,108.6216,
4.1272,108.9473,
4.17226,108.7543,
4.20864,109.0001,
4.26409,109.0199,
4.29181,109.3455,
4.33253,109.5315,
4.35505,109.5647,
4.35765,109.9236,
4.38017,110.1429,
4.42436,110.0497,
4.47374,110.0827,
4.5032,110.0826,
4.51619,110.4482,
4.5673,110.4946,
4.59936,110.5875,
4.62968,110.7403,
4.6678,110.8532,
4.68252,111.1921,
4.73018,110.8995,
4.77263,111.112,
4.82721,111.3645,
4.86879,111.4507,
4.92251,111.5104,
4.98489,111.6098,
